,channels,gts,has_logo,listed,name_length,num_payouts,sale_duration2,user_age,user_type,US_ind,delivery_ind,org_desc_ind,org_fb_ind,org_twitter_ind,payee_name_ind,venue_US_ind,fraud,hour_user_created,hour_event_created,diff_event_user (hours),naive_bayes_name,naive_bayes_descr,name_pct_upper
28,11,10438.0,1,1,134,26,100,245,4,1,1,0,1,1,0,1,0,19,15,5875.6725,0,0,0.172839506173
29,5,1485.14,1,1,28,3,16,863,4,1,0,1,0,0,0,1,0,4,22,20705.195,0,0,0.571428571429
30,0,16210.0,0,0,17,0,35,608,4,1,1,0,0,0,1,1,0,14,1,14602.6536111,0,0,0.2
31,12,120.01,1,1,60,3,150,219,3,1,0,1,1,0,0,0,0,22,2,5260.27722222,0,0,0.479166666667
32,0,725.0,1,0,47,2,20,205,3,1,1,0,0,0,0,1,0,21,18,4917.85861111,0,0,0.243243243243
33,5,540.0,1,1,26,0,70,91,4,1,1,0,0,0,0,0,0,0,19,2179.23333333,0,0,0.173913043478
34,8,66.27,1,1,15,6,26,161,3,1,1,1,0,0,0,1,0,19,20,3865.73472222,0,0,0.142857142857
35,8,8005.66,1,1,55,0,24,0,3,0,1,1,1,1,0,0,0,21,22,0.276666666667,0,0,0.166666666667
36,11,515.96,1,1,28,1,38,247,1,1,0,1,0,0,1,1,0,18,13,5922.20416667,0,0,0.0384615384615
37,11,1336.03,1,1,28,4,60,620,3,1,1,1,1,1,1,1,0,15,14,14878.8733333,0,0,0.0833333333333
38,5,1899.53,1,1,47,1,9,39,3,1,0,1,1,1,0,1,0,2,17,927.091666667,0,0,0.205128205128
39,11,4859.48,1,1,79,0,128,931,4,1,1,0,1,1,1,1,0,20,1,22349.2886111,0,0,0.161290322581
40,8,2.04,1,1,28,0,68,0,3,1,1,0,0,0,0,1,0,21,21,0.00111111111111,0,0,0.157894736842
41,8,145.38,1,1,44,0,12,384,3,1,0,1,0,0,0,1,0,8,23,9230.95194444,0,0,0.114285714286
42,8,77.76,1,1,48,0,18,89,3,1,0,1,1,1,1,1,0,3,18,2126.27472222,0,0,0.171428571429
43,11,48.46,1,1,82,1,0,62,3,1,0,1,0,0,1,1,0,19,21,1490.07388889,0,0,0.15625
44,6,52.62,1,1,41,2,36,132,3,0,1,1,0,0,0,0,0,12,17,3173.44555556,0,0,0.25
45,11,1203.31,1,1,49,1,61,318,1,1,0,1,0,0,0,1,0,4,1,7628.87611111,0,0,0.15
46,11,6.26,1,1,15,39,97,120,3,1,0,1,0,0,0,1,0,2,1,2879.23861111,0,0,0.142857142857
47,6,1133.57,1,1,254,0,24,13,1,1,0,0,0,0,0,1,0,16,3,323.131944444,0,0,0.989795918367
48,8,1170.0,1,1,26,1,49,848,3,1,0,1,1,1,1,0,0,22,22,20352.0544444,0,0,0.15
49,6,103.86,1,1,22,0,66,259,4,1,0,0,0,0,1,1,0,0,11,6203.24527778,0,0,0.210526315789
50,11,1530.0,1,1,36,0,81,718,3,1,0,1,1,1,0,1,0,23,13,17222.85,0,0,0.310344827586
